Holding,Symbol,Weighting
Orpea SA,ORP,0.057%
Grifols SA,GRF.P,0.0569%
Bellway PLC,BWY,0.0558%
Kingfisher PLC,KGF,0.0556%
Intermediate Capital Group PLC,ICP,0.0555%
Worldline SA,WLN,0.0553%
argenx SE,ARGX,0.0551%
Nibe Industrier AB,NIBE.B,0.055%
GN Store Nord A/S,GN,0.0545%
Castellum AB,CAST,0.0542%
Covivio SA,COV,0.0542%
WM Morrison Supermarkets PLC,MRW,0.0539%
Svenska Cellulosa SCA AB,SCA.B,0.0539%
Unite Group PLC,UTG,0.0538%
Telecom Italia SpA,TIT,0.0534%
Powszechny Zaklad Ubezpieczen SA,PZU,0.0531%
Kinnevik AB,KINV.B,0.0529%
ASM International NV,ASM,0.052%
Enagas SA,ENG,0.0516%
Old Mutual Ltd,OMU,0.0515%
Suez SA,SEV,0.0514%
ASR Nederland NV,ASRNL,0.0509%
Rubis SCA,RUI,0.0508%
Direct Line Insurance Group PLC,DLG,0.0506%
Electrolux AB,ELUX.B,0.0504%
Marks and Spencer Group PLC,MKS,0.0502%
Pennon Group PLC,PNN,0.0499%
Aeroports de Paris SA,ADP,0.0497%
Electricite de France SA,EDF,0.0493%
Derwent London PLC,DLN,0.049%
Clariant AG,CLN,0.049%
Tenaris SA,TEN,0.0489%
Securitas AB,SECU.B,0.0487%
Travis Perkins PLC,TPK,0.0484%
SES SA,SESG,0.0483%
Uniper SE,UN01,0.0481%
TUI AG,TUI,0.0481%
AP Moeller - Maersk A/S,MAERSK.A,0.0479%
Cobham PLC,COB,0.0477%
Ems Chemie Holding AG,EMSN,0.0476%
Hiscox Ltd,HSX,0.0476%
Wartsila Oyj Abp,WRT1V,0.0473%
Poste Italiane SpA,PST,0.0471%
Howden Joinery Group PLC,HWDN,0.0469%
PSP Swiss Property AG,PSPN,0.0466%
J Sainsbury PLC,SBRY,0.0463%
Pandora A/S,PNDORA,0.0461%
Weir Group PLC,WEIR,0.046%
MERLIN Properties SOCIMI SA,MRL,0.0458%
Leonardo SpA,LDO,0.0457%
Bank of Ireland Group PLC,BIRG,0.0457%
Knorr Bremse AG,KBX,0.0453%
LANXESS AG,LXS,0.0452%
HomeServe PLC,HSV,0.0452%
Evonik Industries AG,EVK,0.0448%
CD Projekt SA,CDR,0.0448%
Schroders PLC,SDR,0.0447%
Rheinmetall AG,RHM,0.0447%
Micro Focus International PLC,MCRO,0.0444%
Norsk Hydro ASA,NHY,0.0442%
Metso Oyj,METSO,0.0441%
Orion Corp (finland),ORNBV,0.0431%
Carl Zeiss Meditec AG,AFX,0.043%
GEA Group AG,G1A,0.0429%
Kesko Oyj,KESKOB,0.0428%
Amundi SA,AMUN,0.0426%
Tate & Lyle PLC,TATE,0.0426%
Antofagasta PLC,ANTO,0.0425%
Bankinter SA,BKT,0.0424%
MorphoSys AG,MOR,0.0422%
Fabege AB,FABG,0.042%
Helvetia Holding AG,HELN,0.0419%
LPP SA,LPP,0.0418%
Simcorp A/S,SIM,0.0417%
IMCD NV,IMCD,0.0415%
Fastighets AB Balder,BALD.B,0.0414%
Epiroc AB,EPI.B,0.0413%
Elekta AB (publ),EKTA.B,0.0408%
B&M European Value Retail SA,BME,0.0406%
Schindler Holding AG,SCHN,0.0405%
Barry Callebaut AG,BARN,0.0403%
Euronext NV,ENX,0.0402%
Kion Group AG,KGX,0.04%
Spectris PLC,SXS,0.0399%
JD Sports Fashion PLC,JD.,0.0399%
VAT Group AG,VACN,0.0393%
Proximus NV,PROX,0.0391%
IMI PLC,IMI,0.039%
Huhtamaki Oyj,HUH1V,0.0389%
Aalberts NV,AALB,0.0388%
Davide Campari Milano SpA,CPR,0.0387%
Trelleborg AB,TREL.B,0.0386%
Recordati Industria Chimica e Farmaceutica SpA,REC,0.038%
Industrivarden AB,INDU.A,0.0379%
ICA Gruppen AB,ICA,0.0378%
Bank Polska Kasa Opieki SA,PEO,0.0373%
Georg Fischer AG,FI-N,0.0372%
G4S PLC,GFS,0.037%
Deutsche Lufthansa AG,LHA,0.037%
Biomerieux SA,BIM,0.0368%
Natixis SA,KN,0.0368%
Rexel SA,RXL,0.0368%
United Internet AG,UTDI,0.0368%
Sartorius Stedim Biotech SA,DIM,0.0368%
Getinge AB,GETI.B,0.0366%
Dechra Pharmaceuticals PLC,DPH,0.0363%
Jeronimo Martins SGPS SA,JMT,0.0363%
Industrivarden AB,INDU.C,0.0361%
Polymetal International PLC,POLY,0.036%
Electrocomponents PLC,ECM,0.0358%
Iss A/S,ISS,0.0357%
Faurecia SE,EO,0.0357%
AVEVA Group PLC,AVV,0.0356%
IWG Plc,IWG,0.0352%
Elis SA,ELIS,0.0352%
Gjensidige Forsikring ASA,GJF,0.0352%
SSP Group PLC,SSPG,0.035%
Nemetschek SE,NEM,0.0349%
Evolution Gaming Group AB (publ),EVO,0.0347%
Royal Unibrew A/S,RBREW,0.0346%
Inchcape PLC,INCH,0.0345%
Bechtle AG,BC8,0.0342%
Quilter PLC,QLT,0.034%
Wendel SE,MF,0.0339%
Altice Europe NV,ATC,0.0337%
Iliad SA,ILD,0.0337%
Beazley PLC,BEZ,0.0336%
WH Smith PLC,SMWH,0.0335%
Nokian Tyres plc,TYRES,0.0334%
Siemens Gamesa Renewable Energy SA,SGRE,0.0333%
SEB SA,SK,0.0333%
Storebrand ASA,STB,0.0332%
ConvaTec Group PLC,CTEC,0.0332%
Investec PLC,INVP,0.033%
Takeaway.com NV,TKWY,0.033%
Easyjet PLC,EZJ,0.0329%
TAG Immobilien AG,TEG,0.0327%
Koninklijke Vopak NV,VPK,0.0326%
Alten SA,ATE,0.0326%
Aker BP ASA,AKERBP,0.0325%
Cts Eventim AG & Co KgaA,EVD,0.0325%
Cofinimmo SA,COFB,0.0325%
Amplifon SpA,AMP,0.0323%
Rotork PLC,ROR,0.0322%
Altran Technologies SA,ALT,0.0321%
Capita PLC,CPI,0.0321%
Volvo AB,VOLV.A,0.032%
Tryg A/S,TRYG,0.0319%
